Nazwisko aktualne,Liczba
NOWAK,100154
KOWALSKI,67732
WIŚNIEWSKI,53914
WÓJCIK,48561
KOWALCZYK,47811
KAMIŃSKI,46483
LEWANDOWSKI,45171
ZIELIŃSKI,44534
WOŹNIAK,43273
SZYMAŃSKI,43254
DĄBROWSKI,42249
KOZŁOWSKI,36886
MAZUR,34144
JANKOWSKI,33712
KWIATKOWSKI,32436
WOJCIECHOWSKI,32048
KRAWCZYK,30862
KACZMAREK,30288
PIOTROWSKI,29840
GRABOWSKI,28489
ZAJĄC,27392
PAWŁOWSKI,27090
KRÓL,26906
MICHALSKI,26501
WRÓBEL,25033
WIECZOREK,24591
JABŁOŃSKI,24486
NOWAKOWSKI,24072
MAJEWSKI,23969
OLSZEWSKI,23613
DUDEK,23020
STĘPIEŃ,22959
JAWORSKI,22935
ADAMCZYK,22859
MALINOWSKI,22815
GÓRSKI,22165
PAWLAK,22109
NOWICKI,22006
SIKORA,22001
WITKOWSKI,21570
RUTKOWSKI,21369
WALCZAK,21286
BARAN,21007
MICHALAK,20690
SZEWCZYK,20506
OSTROWSKI,20390
TOMASZEWSKI,19540
ZALEWSKI,19246
WRÓBLEWSKI,19027
PIETRZAK,18769
JASIŃSKI,18697
MARCINIAK,18426
SADOWSKI,18374
DUDA,18355
BĄK,18299
ZAWADZKI,18247
JAKUBOWSKI,18119
WILK,17575
CHMIELEWSKI,17421
BORKOWSKI,17151
WŁODARCZYK,17083
SOKOŁOWSKI,16756
SZCZEPAŃSKI,16695
SAWICKI,16604
LIS,16464
KUCHARSKI,15985
KALINOWSKI,15786
WYSOCKI,15746
MAZUREK,15681
KUBIAK,15643
MACIEJEWSKI,15565
KOŁODZIEJ,15148
KAŹMIERCZAK,14793
CZARNECKI,14650
SOBCZAK,14133
KONIECZNY,14126
KRUPA,13991
GŁOWACKI,13840
URBAŃSKI,13780
MRÓZ,13771
ZAKRZEWSKI,13668
WASILEWSKI,13630
KRAJEWSKI,13578
LASKOWSKI,13491
SIKORSKI,13434
ZIÓŁKOWSKI,13319
GAJEWSKI,13220
SZULC,13177
MAKOWSKI,13146
KOZAK,13024
KACZMARCZYK,12945
BRZEZIŃSKI,12934
BARANOWSKI,12889
PRZYBYLSKI,12761
KANIA,12698
SZYMCZAK,12684
JANIK,12639
