Nazwisko aktualne,Liczba
MAKSYŚKO,17
MALIJEWSKA,17
MALITOWICZ,17
MALIUTINA,17
MALSAGOVA,17
MALUŚKIEWICZ,17
MAŁAJNY,17
MAMAI,17
MANDZEL,17
MANJURKA,17
MANKOVSKA,17
MANSOURI,17
MARCHEWCZYŃSKA,17
MARCICZKIEWICZ,17
MARCISZKA,17
MARCYŚ,17
MARDYŁO,17
MARDZIŃSKA,17
MARKERT,17
MARKIELOWSKA,17
MARKUSIEWICZ,17
MAROK,17
MAROSZCZUK,17
MAROWSKA,17
MARQUES,17
MARSZALL,17
MARTOŚ,17
MARTYNETS,17
MARTYNKIEWICZ,17
MARUKIEWICZ,17
MARUŃCZAK,17
MARUSHKO,17
MARYSZEWSKA,17
MASCHKE,17
MASIAKIEWICZ,17
MASS,17
MASTROWSKA,17
MASZTALERCZUK,17
MASZTALEREK,17
MASZTALERUK,17
MAŚLENIK,17
MATHIS,17
MATIIASH,17
MATJAKOWSKA,17
MATJASZEWSKA,17
MATLACH,17
MATŁOWSKA,17
MATSCHKE,17
MATUSHEVSKA,17
MATWIEJÓW,17
MATWIŃSKA,17
MATYJEWSKA,17
MAXELON,17
MAYNARD,17
MAZIOPA,17
MAZOLEWSKA,17
MAZOWITA,17
MCDONNELL,17
MCMANUS,17
MECLER,17
MEDIANYK,17
MEHAL,17
MEHDI,17
MEJZIŃSKA,17
MELAMED,17
MENDZIK,17
MERDASIŃSKA,17
MERGO,17
MERKLER,17
MERLE,17
MERLIŃSKA,17
MERONKA,17
MERYNDA,17
METO,17
MEYSNER,17
MEYSZTOWICZ,17
MEZENTSEVA,17
MĘDELEWSKA,17
MICEUSZ,17
MICHAIL,17
MICHALI,17
MICHAŃSKA,17
MICHENKA,17
MICZAŁOWSKA,17
MIECZYCHOWSKA,17
MIECZYK,17
MIELENIEWSKA,17
MIELIWEK,17
MIEŃCIUK,17
MIEŃSKA,17
MIERWA,17
MIESZKOWICZ-ADAMOWICZ,17
MIĘĆKOWSKA,17
MIĘKA,17
MIĘTKI,17
MIHAI,17
MIJALNY,17
MIKIERA,17
MIKOT,17
MIKULKO,17
MIKUSZEK,17
MILANCEJ,17
MILARCZYK,17
MILBAUER,17
MILEŃSKA,17
MILING,17
MILLAN,17
MIŁOCKA,17
MIŁOSIŃSKA,17
MIŁOSŁAWSKA,17
MINCHUK,17
MINKE,17
MIODONA,17
MIRONOW,17
MIRONOWSKA,17
MIRYN,17
MIS,17
MISAKIEWICZ,17
MISIKONIS,17
MISIUŁAJTIS,17
MISZKINIS,17
MIŚCIOR,17
MIŚNIAK,17
MIZERIA,17
MIZRAHI,17
MIZUŁO,17
MLENKO,17
MŁODY,17
MŁOSTOŃ,17
MŁYNAROWICZ,17
MOCHALOVA,17
MOCKAŁŁO,17
MOCYK,17
MODRZEJOWSKA,17
MOHYLEVSKA,17
MOISEI,17
MOJSEJ,17
MOJSIEJCZUK,17
MOJZESOWICZ,17
MOLINA,17
MOLINSKA,17
MOLZAHN,17
MOŁATA,17
MOŁOTKIEWICZ,17
MOMOTIUK,17
MOMOTOK,17
MONCZUŃSKA,17
MONDOROWICZ,17
MONDRZYK,17
MONISZKA,17
MOPERT,17
MORANKO,17
MORETTI,17
MORLEWSKA,17
MORTOŃ,17
MOSIEJOWSKA,17
MOSIENIAK,17
MOSKALCHUK,17
MOVSISYAN,17
MOŻWIŁO,17
MROWCA-KUSCORZ,17
MUCHLEWICZ,17
MUCKUS,17
MUKHERJEE,17
MUM,17
MUNRO,17
MURZYNIEC,17
MUSCH,17
MUSIAKOWSKA,17
MUSIARZ,17
MUZALSKA,17
MUŻELAK,17
MYKIETA,17
MYKYTA,17
MYŚLER,17
NABIJACZ,17
NAHURNA,17
NAJDERSKA,17
NAJGEBURSKA,17
NALEJSKA,17
NALESIŃSKA,17
NAPIERALCZYK,17
NASKRĘSKA,17
NASŁANIEC,17
NASTARZEWSKA,17
NASTUŁA,17
NASTUNIAK,17
NATOŁOCZNA,17
NAWAZ,17
NAWOCKA,17
NAYDA,17
NAZARKEVYCH,17
NDLOVU,17
NESTLER,17
NĘDZA-KUBINIEC,17
NICAŁ,17
NIEBIESKA,17
NIECHCIOŁ,17
NIEDOPYTAŁA,17
NIEGIEREWICZ,17
NIELEPKO,17
NIELIPIUK,17
NIEMYKIN,17
NIEPELT,17
NIEROJEWSKA,17
NIEUWAŻNA,17
NIEWIARKIEWICZ,17
NIKIPIEROWICZ,17
NIKITYN,17
NIPPE,17
NITERA,17
NIZNER,17
NOCKIEWICZ,17
NODZEWSKA,17
NORBERCZAK,17
NORKUS,17
NORWICZ,17
NORYŚKIEWICZ,17
NOŚKO,17
NOVOTNA,17
NOVRUZOVA,17
NOWACHOWICZ,17
NOWADZKA,17
NOWAK-KOWALSKA,17
NOWOKRZEWSKA,17
NOWORUCKA,17
NYKEL,17
NYKOŁAJCZUK,17
OBAŁKOWSKA,17
OBARTUCH,17
OBERMANN,17
OBI,17
OBIDOSKA,17
OBLAS,17
OBREDA,17
OBYCZ,17
OCAP,17
OCEP,17
OCHABOWICZ,17
OCHANTEL,17
OCHERETIANA,17
OCHYŃSKA,17
ODORCZUK,17
ODYJA,17
OGNISTY,17
OGONOWSKI,17
OGÓROWSKA,17
OKIENICA,17
OKIEŃCZUK,17
OKŁOTA,17
OKŁÓT,17
OKRASKO,17
OKRĘTA,17
OKSIEJCZUK,17
OKSIEŃ,17
OKUMSKA,17
OLACH,17
OLASZCZYK,17
OLAWIŃSKA,17
OLCZEK,17
OLEJNICZUK,17
OLENCHUK,17
OLEŃKIEWICZ,17
OLEŃKO,17
OLITKOWSKA,17
OŁTUCH,17
ONIŚKIEWICZ,17
ONUCH,17
ONUFREJUK,17
OPIŁO,17
OSEŃKO,17
OSIPOW,17
OSPARA,17
OSTASZYK,17
OSTROUSHKO,17
OSTRZYŃSKA,17
OSZMANA,17
OŚRODEK,17
OTHANIEL,17
OTRĘBIAK,17
OTROMBKE,17
OVSIICHUK,17
OWIĘCKA,17
OWSIEWSKA,17
OZDAMIROVA,17
OŻEG,17
OŻÓBKO,17
ÖZEN,17
PACHOLCZUK,17
PACHOWIAK,17
PACIECHA,17
PACIERPNIK,17
PACUKIEWICZ,17
PACZOSKE,17
PADAK,17
PADÉE,17
PAGINOWSKA,17
PAHOLSKA,17
PAKIESER,17
PAKULA,17
PALLUCH,17
PAŁDYŃSKA,17
PANCHAL,17
PANFIŁOW,17
PANIUK,17
PAPUSZKA,17
PARASHCHAK,17
PARASIAK,17
PARFLINIAK,17
PARGÓLSKA,17
PARKINSON,17
PARSZENIEW,17
PARUŻNIK,17
PARYZEK,17
PARZYS,17
PASAŁKA,17
PASYNEK,17
PASZOTA,17
PASZUDA,17
PAWELEK,17
PAWELIC,17
PAWICA,17
PAWIŁOWSKA,17
PAWLAR,17
PAWUSZ,17
PAŹDZIURKIEWICZ,17
PĄCZKIEWICZ,17
PĄPA,17
PELANT,17
PELICHOWSKA,17
PELLETIER,17
PELZNER,17
PEMPEK,17
PENTELA,17
PENTRYS,17
PERANEK,17
PERESUNKO,17
PEREŚWIET-SOŁTAN,17
PERGES,17
PERLEGA,17
PERSZYŃSKA,17
PETASZ,17
PETERLEJTNER,17
PETLICKA,17
PETRUCH,17
PETRUSHENKO,17
PETRYMUSZ,17
PĘSZKAL,17
PHAM VAN,17
PIAŚCIAK,17
PICHNER,17
PICHNICKA,17
PIDHIRNA,17
PIEKAREC,17
PIEKIELNICKA,17
PIELAWSKA,17
PIELEŃ,17
PIELGRZYM,17
PIENDAK,17
PIENSZKA,17
PIENTARSKA,17
PIEPRZNIK,17
PIEREPIENKO,17
PIERNIKORZ,17
PIERUCH,17
PIERZCHLIŃSKA,17
PIESIURA,17
PIETRECZEK,17
PIETRIN,17
PIETRYCZKO,17
PIETSZ,17
PILIPA,17
PILO,17
PIŁOWSKA,17
PIMPICKA,17
PIROG,17
PISKON,17
PISKORZYŃSKA,17
PIŚLEWSKA,17
PLEJEWSKA,17
PLICZKO,17
PLISZKE,17
PLOCKE,17
PLOKHOTNIUK,17
PLUCZYŃSKA,17
PLUSZEWSKA,17
PŁACZKOWIEC,17
PŁANICA,17
PŁUCIEŃCZAK,17
POCHTAR,17
PODCABA,17
PODFIGÓRNA,17
PODGURSKA,17
PODKOŚCIELNY,17
PODPINKA,17
PODRES,17
PODWAŁKA,17
PODŻUS,17
POGRZEBNA,17
POJEDYNEK,17
POKLIKAJEW,17
POKUTYŃSKA,17
POLEWIK,17
POLICHOŃSKA,17
POLLAKOWSKA,17
POLTAVSKA,17
POLUGA,17
POŁA,17
POŁOWYSZCZAK,17
POMAZANA,17
POMERANEK,17
POMERNACKA,17
PONANTA,17
POPADEŃCZUK,17
POPADYNETS,17
POPIENIUK,17
PORYSZKO,17
PORZELSKA,17
POSALA,17
POSENIAK,17
POSZYLER,17
POŚWIĘTNA,17
POWALA,17
POWYSZYŃSKA,17
POZÓR,17
PRAKSA,17
PRAUS,17
PRAUZA,17
PRAUZE,17
PREYER,17
PRISKE,17
PRODEUS,17
PROJZNER,17
PRONIAK,17
PRONIEWICKA,17
PROSZKO,17
PROTSYSHYN,17
PROTZEK,17
PROZOROVA,17
PRUCYK,17
PRUSIEL,17
PRYMELSKA,17
PRYŚLAK,17
PRZEKUPIEŃ,17
PRZEPIERZYŃSKA,17
PRZEPLASKO,17
PRZYBYLCZAK,17
PRZYBYSZEK,17
PRZYŁÓDZKA,17
PRZYWRZEJ,17
PSTRONGOWSKA,17
PSZYK,17
PUDELEWICZ,17
PUKIANIEC,17
PUŁKOŚNIK,17
PUMA,17
PUNDOR,17
PUTELBERGIER,17
PUTRYCZ,17
PUZYRKIEWICZ,17
PYKAŁA,17
PYRASZ,17
PYRDZIAK,17
PYTT,17
PYTYŃSKA,17
RABADA,17
RABEL,17
RABIEJEWSKA,17
RACINO,17
RACOŃ,17
RAĆKO,17
RADA,17
RADOLONEK,17
RADWAN-PYTLEWSKA,17
RADYMIAK,17
RADZIJEWSKA,17
RADZINSKA,17
RADZIWIŃSKA,17
RAGANKIEWICZ,17
RAGLIS,17
RAIF,17
RAINCZAK,17
RAJDOK,17
RAJNSZ,17
RAMANOUSKAYA,17
RANDALL,17
RAPANT,17
RAPNICKA,17
RAPUSTA,17
RASIMOWICZ,17
RATAJEWICZ,17
RATTER,17
REBKOWIEC,17
REBRYK,17
REDKINA,17
REDZKO,17
REGENBRECHT,17
REGULANTY,17
REHLICH,17
REIL,17
REINOWSKA,17
REJWERSKA,17
REJZER,17
REŁEK,17
REMION,17
RENCŁAWOWICZ,17
RESIL,17
REŚKO,17
RĘGOWSKA,17
RĘKOWSKA,17
RĘPAŁA,17
RIABCHUN,17
RIBSZLEGER,17
RIEMANN,17
RIZZI,17
ROBIENIEK,17
RODYKOW,17
RODZACH,17
RODZEŃSKA,17
ROGMAN,17
ROGOZIA,17
ROGUZIAK,17
ROI,17
ROKOJŻO,17
ROMUL,17
RONEN,17
ROTENBERG,17
ROZBIEGALSKA,17
ROZENBLUT,17
ROZMARYN,17
ROŹMIAREK,17
ROŻANOWSKA,17
ROŻEJOWSKA,17
RÓŻOK,17
RUBASZEK,17
RUBINO,17
RUDAWA,17
RULNICKA,17
RUMIENIECKA,17
RUTKOVSKA,17
RYBCZONEK,17
RYBIENIK,17
RYBIEWSKA,17
RYCHNOWSKA,17
RYDLIKOWSKA,17
RYGIOŁ,17
RYGUSIAK,17
RYKIERT,17
RYKULSKA,17
RYMCZAK,17
RYMISZEWSKA,17
RYSZOWSKA,17
RYTAROWSKA,17
RYZIEWICZ,17
RZADKOWALSKA,17
RZASKA,17
RZECKA,17
RZECZKO,17
RZEGOST,17
RZENIECKA,17
RZEŹNIEWSKA,17
RZEŻNICZAK,17
RZĘŚNICKA,17
RZONSA,17
RZYMKA,17
RZYSZKOWICZ,17
SABATURA,17
SABOR,17
SACHADEL,17
SADOWIEC,17
SADYKOVA,17
SAGAT,17
SAGOWSKA,17
SAHA,17
SAHM,17
SAI,17
SAILER,17
SALAH,17
SALLA,17
SALNYK,17
SAŁAJSKA,17
SAŁOP,17
SAŁUCH,17
SAMCZAK,17
SAMOIŁ,17
SAMOWĘDZIUK,17
SANDMANN,17
SANDULIAK,17
SANTOROWSKA,17
SANTUS,17
SAŃDA,17
SAPIASKA,17
SAPIJASZKO,17
SAROSIAK,17
SAROSIŃSKA,17
SASA,17
SASSON,17
SAVVA,17
SAWASTYNOWICZ,17
SAŻYŃSKA,17
SCHACHTSCHNEIDER,17
SCHAEDLER,17
SCHEIT,17
SCHILF,17
SCHILLAK,17
SCHLIEWE,17
SCHMALENBERG,17
SCHNOBER,17
SCHOENECK,17
SCHOSTOK,17
SCHÖNEICH,17
SCHÖNWALD,17
SCHRŐTER,17
SCHUPP,17
SCHWARZE,17
SCHWIERKOTT,17
SCIEPURA,17
SDEBEL,17
SDUN,17
SECOMSKA,17
SEGITA,17
SELUK,17
SEMENYSHYN,17
SEMIANCHUK,17
SENATORSKA,17
SENGEBUSCH,17
SEREDYSZYN,17
SERMANOWICZ,17
SEWULOK,17
SHAFRANSKA,17
SHALIMOVA,17
SHAPARENKO,17
SHARUN,17
SHATYLO,17
SHAUCHENKA,17
SHMELOVA,17
SHU,17
SIDHU,17
SIEJO,17
SIELEWOŃCZUK,17
SIEMANN,17
SIEMIERNIK,17
SIEMIONOWICZ,17
SIENIUC,17
SIERADZON,17
SIERCHUŁA,17
SIERIKOVA,17
SIERLEJA,17
SIŁAK,17
SIMONENKO,17
SIRBU,17
SISIK,17
SIUCHNICKA,17
SIWIELEC,17
SIWON,17
SIWORSKA,17
SKAFIRIAK,17
SKIC,17
SKIREWSKA,17
SKLEBIC,17
SKOCZELAS,17
SKOCZKA,17
SKOCZNY,17
SKOKAN,17
SKOKUN,17
SKOKUŃ,17
SKOLKOWSKA,17
SKOMOROKO,17
SKORATKO,17
SKORUTOWSKA,17
SKOUPY,17
SKROBOŃ,17
SKROBOSIŃSKA,17
SKROBOTUN,17
SKRZELEWSKA,17
SKUBALSKA,17
SKULINA,17
SKWARCIAK,17
SLABY,17
SLEDŹ,17
SLYNKO,17
SŁAWOSZEWSKA,17
SŁOMIANNY,17
SMAŻYCH,17
SMIERNA,17
SMIKIEL,17
SMIRNOWA,17
SMONIEWSKA,17
SMORGOL,17
SMYRA,17
SNYDER,17
SOBITA,17
SOBOTOWICZ,17
SOBUNIEWSKA,17
SODOMSKA,17
SOLATYCKA,17
SOLIWOCKA,17
SOLNICZEK,17
SOMAK,17
SOMINA,17
SONAKOWSKA,17
SONNENBURG,17
SOPEŁA,17
SOPĘCH,17
SORKO,17
SOSINSKA,17
SOSOWSKA,17
SOWIAR,17
SOWIŚLOK,17
SOŻYŃSKA,17
SPALTENSTEIN,17
SPENDE,17
SPERBER,17
SPILA,17
SPORIN,17
SPRINGMAN,17
SPUNDA,17
STADNIKIEWICZ,17
STAIER,17
STAJAK,17
STAKHURSKA,17
STANAK,17
STANGE,17
STARON,17
STAROVOITOVA,17
STASHEVSKA,17
STASIKIEWICZ,17
STAUB,17
STEINITZ,17
STEMPNIOWSKA,17
STEPANÓW,17
STERNISKO,17
STERNOWSKA,17
STESKAL,17
STETSKA,17
STĘGOWSKA,17
STĘPALSKA,17
STIEPANIUK,17
STODZIESZ,17
STOFF,17
STOIKO,17
STOINSKA,17
STOPCZAŃSKA,17
STOPIEŃSKA,17
STOPOWSKA,17
STORM,17
STORTO,17
STORZYSZ,17
STRACZUK,17
STRATIICHUK,17
STREBEJKO,17
STREHLKE,17
STROBIN,17
STROCEŃ,17
STROGULSKA,17
STROSCHEIN,17
STRUGARU,17
STRUKOVA,17
STRUZICKA,17
STRYCHANOWSKA,17
STRYCZAK,17
STRYGO,17
STRYJAŚ,17
STRYMER,17
STRYŻKO,17
STRZELECKI,17
STRZEŻEWSKA,17
STUCHŁA,17
STUDOŁKA,17
STULCZEWSKA,17
STULIN,17
STYRAN,17
STYRANOWSKA,17
SUCHORZ,17
SUDAKIEWICZ,17
SUDARA,17
SUKANY,17
SULLEY,17
SUMIS,17
SUPONIK,17
SUSAJEW,17
SUSHYNSKA,17
SUSŁA,17
SUSZNIAK,17
SUŚNIŁO,17
SVITLYK,17
SWARA,17
SWEND,17
SWYD,17
SYGNAREK,17
SYLENKO,17
SYM,17
SYMECZKO,17
SYMOVONIUK,17
SYMULEWICZ,17
SYNUS,17
SYPNIAK,17
SYRZISKO,17
SYULEYMAN,17
SZACHUŁA,17
SZADZEWICZ,17
SZAFORSKA,17
SZAFRANKIEWICZ,17
SZAJDZIUK,17
SZALER,17
SZALKO,17
SZAŁASZEWICZ,17
SZAŁAŚ,17
SZAŁAWIŃSKA,17
SZAMOTUŁO,17
SZANEL,17
SZARAMETA,17
SZARGOT,17
SZARMAŃSKA,17
SZAROMA,17
SZAROWAR,17
SZARSZOŃ,17
SZARUTA,17
SZATLACH,17
SZCZEBLIŃSKA,17
SZCZECHULA,17
SZCZEPUREK,17
SZCZERBIWILK,17
SZEBIOTKO,17
SZEL,17
SZEMCZAK,17
SZEMITKO,17
SZENKIN,17
SZEPELAWY,17
SZERŁOT,17
SZEROKA,17
SZEROMSKA,17
SZKIEL,17
SZMAJDEWICZ,17
SZMAŃTA,17
SZMATAŁOWSKA,17
SZMEIL,17
SZMEITER,17
SZMILEWSKA,17
SZMOLKA,17
SZMORĄG,17
SZMULKIS,17
SZNAUCNER,17
SZOLA,17
SZOLL,17
SZOŁOCH,17
SZONSZOR,17
SZOPRUN,17
SZORKIN,17
SZPALIK,17
SZPERZYŃSKA,17
SZPUNTOWICZ,17
SZPURGIS,17
SZREBKA,17
SZREIDER,17
SZRON,17
SZTAMBEREK,17
SZTANKE,17
SZTEC,17
SZTEJMAN,17
SZTERN,17
SZTĘGIERSKA,17
SZTURYŁO,17
SZUDREWICZ,17
SZUFŁAT,17
SZULEROWICZ,17
SZULTEK,17
SZUŁKOWSKA,17
SZUŃKO,17
SZUP,17
SZUPPE,17
SZURMIAK,17
SZUTTENBERG,17
SZWAJOREK,17
SZWERBEL,17
SZWERC,17
SZWIDER,17
SZYGALSKA,17
SZYLF,17
SZYMBROWICZ,17
SZYMELFEJNIK,17
SZYMOT,17
SZYNGIER,17
ŚCIEŚKO,17
ŚCIOBŁOWSKA,17
ŚLENZAK,17
ŚLICZNIUK,17
ŚLIFIŃSKA,17
ŚLISZEWICZ,17
ŚLIZGA,17
ŚLUZAR,17
ŚMIELA,17
ŚMILGIN,17
ŚNIAK,17
ŚNIGURSKA,17
ŚNITKOWSKA,17
ŚRĘBOWATA,17
ŚRONKOWSKA,17
ŚWIĄC,17
ŚWIDLIŃSKA,17
ŚWIERBUTOWSKA,17
ŚWIĘCIASZEK,17
ŚWIOKŁA,17
ŚWIONTEK,17
ŚWITLICKA-PAPROCKA,17
TACIUCH,17
TACZAK,17
TADEUSZYK,17
TAJSNER,17
TANANA,17
TANDYRAK,17
TATAK,17
TATUSZ,17
TAUTZ,17
TECH,17
TEICHER,17
TEMPLEWICZ,17
TENCZA,17
TEODORU,17
TERPIS,17
TERRY,17
TESNER,17
TESTA,17
TETERKA,17
TEYSLER,17
THOMASSEN,17
THORNTON,17
THUM,17
TICHORUK,17
TITTENBRUN,17
TKHIR,17
TLON,17
TODOROV,17
TOLOCH,17
TOMBAK,17
TOMOVA,17
TONTARSKA,17
TOPOLAŃSKA,17
TOPOSZKIEWICZ,17
TOROSYAN,17
TOWGIN,17
TRAFIAŁEK,17
TRAN VAN,17
TRATKOWSKA,17
TRAWINSKA,17
TRĄKOWSKA,17
TREKIEL,17
TRELSKA,17
TRENK,17
TREŚKA,17
TREYDEROWSKA,17
TROFIMIEC,17
TROIANOVSKA,17
TROJCA,17
TROJNER,17
TROKIELEWICZ,17
TRUPISZEWSKA,17
TRYPKA,17
TRZASKULSKA,17
TRZENSIOCH,17
TRZETRZELEWSKA,17
TRZYSZCZAK,17
TSAPENKO,17
TSOMA,17
TUCHULSKA,17
TUCZYK,17
TUDZIERZ,17
TULEJBICZ,17
TULKIEWICZ,17
TUMIN,17
TUNIKOWSKA,17
TURAJCZYK,17
TURBO,17
TURHAN,17
TUROCZY,17
TUSKA,17
TUTUR,17
TWARDOWICZ,17
TWARKIEWICZ,17
TWORÓG,17
TWORZYK,17
TYDRYCH,17
TYMCZEWSKA,17
TYMEJCZUK,17
TYRAU,17
TYRK,17
TYROLSKA,17
TYTYK,17
UCIEKAŁEK,17
UGLORZ,17
UGODA,17
ULDYNOWICZ,17
ULEŃSKA,17
ULLAH,17
UMPIROWICZ,17
URYSEK,17
USATA,17
USTYNIUK,17
VAKULIUK,17
VALENTE,17
VAN DESSEL,17
VARDANIAN,17
VASHKEVYCH,17
VASILENKO,17
VASKIVSKA,17
VASYLKOVA,17
VEHERA,17
VELHAN,17
VESELA,17
VIDAL,17
VIUN,17
VIVCHARYK,17
VOLIANYK,17
VOLOSHENIUK,17
VORONKINA,17
VRUBEL,17
VYKHRYSTIUK,17
WACHACKA,17
WACHAŁ,17
WAISMAN,17
WAJDLICH,17
WAJEROWICZ,17
WALDUN,17
WALENISTA,17
WALERYSZEK,17
WALLUS,17
WALNICKA,17
WAŁDYKOWSKA,17
WANCA,17
WANCIURA,17
WANDER,17
WANIAS,17
WARBISCH,17
WARCZEK,17
WARDĘSZKIEWICZ,17
WAREC,17
WARPIŃSKA,17
WARSZAWIN,17
WARYLEWSKA,17
WARZUCHOWSKA,17
WARZYCA,17
WASIUCZYŃSKA,17
WASKIEWICZ,17
WASKIN,17
WAWDZIEJCZUK,17
WAWROŃSKA,17
WAWROS,17
WAWRYNEK,17
WAZIŃSKA,17
WAZIO,17
WDÓWIK,17
WECHTER,17
WEGIENEK,17
WEIGL,17
WEIJER,17
WEIMER,17
WEINREICH,17
WEJCMAN,17
WEJDEBACH,17
WEJNARSKA,17
WEMBERGER,17
WEND,17
WENDZIŃSKA,17
WENNE,17
WENSZKA,17
WERC,17
WERMUTH,17
WERTLEWSKA,17
WERULIK,17
WESELIŃSKA,17
WESTEROWSKA,17
WEYSSENHOFF,17
WĘGIERKIEWICZ,17
WIARANOWSKA,17
WIARUS,17
WIATROS,17
WICIJEWSKA,17
WIDÓREK,17
WIELECHOWICZ,17
WIELGOMASZ,17
WIELGUT,17
WIELICZKIEWICZ,17
WIELOMEK,17
WIEREMIEJ,17
WIERKUS,17
WIERTELCZYK,17
WIERZBIŁO,17
WIERZGALA,17
WIERZYKOWSKA,17
WIETKI,17
WIĘCKUS,17
WIGDORCZYK,17
WIJACIŃSKA,17
WIKARYCZAK,17
WIKLENT,17
WILDEMANN,17
WILECZELEK,17
WILLAK,17
WIŁNICKA,17
WINCZYK,17
WINDLOCH,17
WIPLER,17
WIRASZKO,17
WIRTZ,17
WISZNIEWSKI,17
WITIW,17
WITKOWICKA,17
WITOLD,17
WITORZEŃĆ,17
WITTYCH,17
WITWERA,17
WIZIŃSKA,17
WŁASINOWICZ,17
WŁAZIŃSKA,17
WŁOCHIŃSKA,17
WŁODAWIEC,17
WŁOŚKIEWICZ,17
WNYKOWSKA,17
WOBIK,17
WODAS,17
WODER,17
WODICZKO,17
WOJAKOWICZ,17
WOJCIANIEC,17
WOJNIK,17
WOJNIŁO,17
WOJTACHNIK,17
WOJTIŃSKA,17
WOLLNER,17
WOLNAREK,17
WOLOSZCZUK,17
WOŁK-LEWANOWICZ,17
WOŁOJEWICZ,17
WORONCOW,17
WOZNICA,17
WOŹNIAK VEL WÓJCIK,17
WÓŁKOWSKA,17
WRUBIŃSKA,17
WSZAŁEK,17
WŚCIEKLICKA,17
WULNIKOWSKA,17
WUSS,17
WUTOWICZ,17
WUTTKA,17
WYCZAŁEK,17
WYDORNIK,17
WYLEŻYCH,17
WYPARTOWICZ,17
WYPŁATA,17
WYREMSKA,17
WYRZYŃSKA,17
WYSŁUGOCKA,17
WYSOCZAN,17
WYSYPOŁ,17
WYŻLIŃSKA,17
YANENKO,17
YARESKO,17
YARISH,17
YURECHKO,17
YUZIUK,17
YÜCEL,17
ZABŁOCKI,17
ZABRONI,17
ZABULSKA,17
ZACHARENKO,17
ZACHORA,17
ZADAŃSKA,17
ZAJĄCZKIEWICZ,17
ZAJET,17
ZAJUL,17
ZAKARYAN,17
ZAKOWANA,17
ZALESZCZAK,17
ZALICKA,17
ZAŁĘCZNY,17
ZAŁUBINIAK,17
ZAMOJTEL,17
ZAMOJTUK,17
ZANTOW,17
ZAPOTICHNA,17
ZARUSIŃSKA,17
ZASADZIAK,17
ZASIUK,17
ZASŁUCKA,17
ZASSOWSKA,17
ZASZTOFT,17
ZATOROWSKA,17
ZATOWSKA,17
ZAWIERSKA,17
ZBERUS,17
ZDYRA,17
ZEŃCZAK,17
ZERZUCHA,17
ZGUBISZ,17
ZHOSAN,17
ZHUCHENKO,17
ZHYLINSKAYA,17
ZICHLARZ,17
ZIELAZKIEWICZ,17
ZIELIŃSKA-NOWAK,17
ZIEMIEWICZ,17
ZIENCIKIEWICZ,17
ZILLER,17
ZINENKO,17
ZINTEL,17
ZIUZIAŃSKA,17
ZŁOTORZYCKA,17
ZMECZEROWSKA,17
ZMICZEREWSKA,17
ZMORSKA,17
ZOŁOTARSKA,17
ZONTAK,17
ZOSSEL,17
ZOWORKA,17
ZROSTEK,17
ZUBACZ,17
ZUEHLKE,17
ZUIENKO,17
ZUJ,17
ZUPOK,17
ZUSZMAN,17
ZUWALD,17
ZWĘGRODZKA,17
ZWIEREW,17
ZWOROWSKA,17
ZYGARLIŃSKA,17
ZYGLEWICZ,17
ZYKOWSKA,17
ZYNGER,17
ZYPPER,17
ŻAKOWIEC,17
ŻAŁOBNA,17
ŻARK,17
ŻATKIEWICZ,17
ŻAWKO,17
ŻDŻALIK,17
ŻELAŹNIAK,17
ŻELEZNY,17
ŻEŁAJTYS,17
ŻEMOJCIN,17
ŻENICKA,17
ŻMÓJDZIN,17
ŻOŁEŃSKA,17
ŻÓŁCZYŃSKA,17
ŻÓŁWIŃSKA,17
ŻÓRAWIŃSKA,17
ŻULIKOWSKA,17
ŻUŁNOWSKA,17
ŻUŻEWICZ,17
ŻWIRECKA,17
ŻYGOCKA,17
ŻYGOŃ,17
ŻYTNA,17
ŻYWORONEK,17
ŻYŻAK,17
ABCZAK,16
ABELEC,16
ABRAMIAN,16
ABSYL,16
ABUKHOUSKAYA,16
ADAMEC,16
ADAMEJTIS,16
ADANOWICZ,16
ADWENTOWICZ,16
AERTS,16
AFFELTOWICZ,16
AFTKA,16
AJDYN,16
AKCIŃSKA,16
AKGÜL,16
AKKAYA,16
AKSAMIRSKA,16
ALASIŃSKA,16
ALBER,16
ALBERTOWSKA,16
ALEKSEIEVA,16
ALICHNOWICZ,16
ALINOWSKA,16
ALM,16
ALUCHNA,16
AMBROŻEJCZYK,16
AMMER,16
AMROSZ,16
AMZEL,16
ANDRADE,16
ANDREASSEN,16
ANDRIIASH,16
ANDRONOVA,16
ANDRUSHCHYSHYNA,16
ANDRYANCZYK,16
ANDRYKIEWICZ,16
ANIGACZ,16
ANISIEJKO,16
ANKIANIEC,16
ANNUSEWICZ,16
ANTONICKA,16
ANTONIN,16
ANYST,16
APALIŃSKA,16
APANAS,16
APPA,16
APTEWICZ,16
ARLOVA,16
ARONIK,16
ARSHAD,16
ARTAMONOW,16
ARTEMSKA,16
ARTUSZEWSKA,16
ASANOVA,16
ASKEROVA,16
ATAMANENKO,16
ATAMANIEC,16
ATANASOW,16
ATAY,16
ATKIEWICZ,16
ATMACA,16
AUTRIEB,16
AYVAZYAN,16
BABCIAK,16
BABER,16
BABKOVA,16
BABLICH,16
BABRAKOWSKA,16
BACHONKO,16
BACHRY,16
BACHURINA,16
BACISZ,16
BACZUŃ,16
BAIRAMOVA,16
BAJNER,16
