Nazwisko aktualne,Liczba
BIENIEK,6684
GODLEWSKA,6673
ZAWADA,6668
AUGUSTYNIAK,6666
ŻURAWSKA,6665
CZYŻ,6635
KOMOROWSKA,6632
SKRZYPCZAK,6526
GROCHOWSKA,6510
GÓRKA,6493
GRUSZKA,6493
KUŚ,6469
RÓŻAŃSKA,6458
PRZYBYŁA,6439
SZCZĘSNA,6433
WINIARSKA,6427
DROZD,6386
CYBULSKA,6380
KRAWIEC,6366
PANEK,6333
PTAK,6330
KULIK,6302
LEŚNIEWSKA,6295
KONOPKA,6283
KRZYŻANOWSKA,6231
MIKOŁAJCZAK,6230
CICHOŃ,6224
GIL,6206
SŁOWIK,6194
SZCZEPANIK,6162
CICHOCKA,6161
ZAREMBA,6159
SIWEK,6131
MIELCZAREK,6127
ZARZYCKA,6117
TOKARSKA,6112
GRACZYK,6060
STRZELECKA,6051
SZYMCZYK,6036
MŁYNARCZYK,6019
BARTKOWIAK,6000
KACZYŃSKA,5972
MAĆKOWIAK,5969
KŁOS,5959
STAŃCZYK,5953
BUCZEK,5937
NIEWIADOMSKA,5916
SZCZYGIEŁ,5914
SZOSTAK,5902
BIERNAT,5901
GRZYB,5891
JANUS,5884
KOSTRZEWA,5877
FILIPIAK,5861
SKOWRON,5851
WĘGRZYN,5841
JANIAK,5827
SIENKIEWICZ,5812
GÓRNA,5805
KUCHARCZYK,5796
KALETA,5782
JUREK,5779
BOGUSZ,5777
RAKOWSKA,5764
GĄSIOR,5753
GAWRON,5751
CIEŚLA,5714
BAGIŃSKA,5712
KSIĄŻEK,5712
KUBIK,5699
ANTCZAK,5689
BANASIAK,5680
RÓŻYCKA,5673
BARTCZAK,5660
ŻEBROWSKA,5642
GAWLIK,5621
KRÓLIKOWSKA,5602
TRZCIŃSKA,5600
ZARĘBA,5564
KULA,5554
HAJDUK,5506
MIKULSKA,5502
PAŁKA,5499
GRZEGORCZYK,5490
ROGALSKA,5483
FRĄCZEK,5480
DŁUGOSZ,5474
RZEPKA,5469
MALISZEWSKA,5451
MALEC,5432
ROGALA,5430
ROJEK,5413
WITCZAK,5412
TROJANOWSKA,5382
GAWROŃSKA,5381
RADOMSKA,5357
DOBOSZ,5348
TKACZYK,5338
RYBICKA,5306
STEC,5289
BOREK,5278
LACH,5268
MIKA,5256
FRANKOWSKA,5214
KISIEL,5200
BOGUCKA,5195
KACZOROWSKA,5183
WĄSIK,5172
ZABOROWSKA,5150
ŚLUSARCZYK,5149
GAŁĄZKA,5148
WIĘCKOWSKA,5132
KMIECIK,5101
KARWOWSKA,5095
KWAŚNIEWSKA,5094
GRZESIAK,5085
BIAŁAS,5035
DUDZIŃSKA,5003
FRĄCKOWIAK,5003
KUBACKA,5000
PIETRAS,4996
BOCHENEK,4986
JUSZCZAK,4984
WALKOWIAK,4969
LIPSKA,4967
SOKÓŁ,4952
NAWROT,4943
JANAS,4942
ROSIAK,4938
WOJTCZAK,4937
PAWELEC,4936
WNUK,4924
WÓJCICKA,4923
LASOTA,4917
MROCZEK,4910
KOŁODZIEJSKA,4906
BURZYŃSKA,4880
SKRZYPEK,4875
CZYŻEWSKA,4866
WROŃSKA,4864
ZYGMUNT,4862
SZAFRAŃSKA,4852
FIJAŁKOWSKA,4839
PIWOWARCZYK,4838
JĘDRZEJCZYK,4835
ŁUKASIEWICZ,4829
PIÓRKOWSKA,4817
GRUSZCZYŃSKA,4794
ZAJĄCZKOWSKA,4790
ŻMUDA,4782
BOROWIEC,4781
KRYSIAK,4777
JURKIEWICZ,4768
MASŁOWSKA,4762
ŁAPIŃSKA,4757
DĄBEK,4754
PASTERNAK,4751
JAGODZIŃSKA,4748
KRAKOWIAK,4741
MISIAK,4733
BUJAK,4730
JĘDRZEJCZAK,4722
LISIECKA,4719
JAGIEŁŁO,4703
PILARSKA,4692
GAWEŁ,4678
