Imię,Liczba,Płeć
RENAT,10,M
KAI,9,M
KRZESIMIR,9,M
THEODOR,9,M
ANTHONY,9,M
LEONID,9,M
IRENEUSZ,9,M
OLEH,9,M
AARON,9,M
AMIR,9,M
NIKO,9,M
KYRYL,9,M
RAFAEL,9,M
TARAS,8,M
SAMBOR,8,M
MUHAMMAD,8,M
RAGNAR,8,M
ILIA,8,M
RUSLAN,8,M
NESTOR,8,M
ARMIN,8,M
MATWIJ,8,M
ANTONIO,8,M
WILHELM,8,M
YEVHEN,8,M
IWAN,8,M
MIKHAIL,8,M
LUKIAN,8,M
ILYA,8,M
XAVIER,8,M
MARCO,8,M
EMIR,8,M
MIKOLAJ,8,M
TIMOFEY,8,M
AXEL,8,M
HENRY,8,M
NATANAEL,7,M
DOBROMIR,7,M
MAKARY,7,M
JAROSLAV,7,M
ZACHARIASZ,7,M
DMITRIJ,7,M
LUCA,7,M
JAMES,7,M
MARCUS,7,M
KONSTANTYN,7,M
KAJ,7,M
SVYATOSLAV,7,M
OLEKSIY,7,M
LORENZO,7,M
MYKHAIL,7,M
MATVEI,7,M
ANDRIY,7,M
ALI,7,M
STANISLAW,7,M
YEVHENII,7,M
GUSTAV,7,M
ILLYA,7,M
ARSENII,7,M
SANTIAGO,7,M
NOEL,6,M
NAZARII,6,M
VSEVOLOD,6,M
WŁODZIMIERZ,6,M
MARKUS,6,M
KILIAN,6,M
WIESŁAW,6,M
DEMYAN,6,M
ZACHAR,6,M
ROSTISLAV,6,M
DIEGO,6,M
GEORGE,6,M
PAVEL,6,M
YEGOR,6,M
DYLAN,6,M
RICHARD,6,M
YAREMA,6,M
LUKAS,6,M
WOJTEK,6,M
ARIEL,6,M
DIONIZY,6,M
ZDZISŁAW,6,M
JEGOR,6,M
LESŁAW,6,M
JOEL,6,M
TADEI,6,M
MILO,6,M
DOMINIC,5,M
CYRYL,5,M
ANTEK,5,M
AUGUSTYN,5,M
JAKOB,5,M
ANATOLII,5,M
KLAUDIUSZ,5,M
MATEO,5,M
PASCAL,5,M
VALENTINO,5,M
SAVELII,5,M
ELIAS,5,M
MARSEL,5,M
RINAT,5,M
MATVIJ,5,M
LOUIS,5,M
LUKYAN,5,M
FRANK,5,M
JONATHAN,5,M
ENZO,5,M
MICHAIL,5,M
KRYSPIN,5,M
LIUBOMYR,5,M
ARTHUR,5,M
RAYAN,5,M
DMITRO,5,M
TIMOFII,5,M
THEODORE,5,M
IAN,5,M
BRAYAN,5,M
VASYL,5,M
RUBEN,5,M
THOMAS,5,M
ANDREY,5,M
EDGAR,5,M
NATHANIEL,5,M
LUIS,5,M
ARSENIY,5,M
MANUEL,4,M
DARII,4,M
SOLOMON,4,M
ARNOLD,4,M
LEVI,4,M
OLEKSANDER,4,M
ELDAR,4,M
ŚWIATOSŁAW,4,M
KONSTANTIN,4,M
TEOFIL,4,M
ZENON,4,M
ITAN,4,M
JORDAN,4,M
ANTONY,4,M
DEMIR,4,M
DAJAN,4,M
EMMANUEL,4,M
MICHAL,4,M
HORDII,4,M
GERALD,4,M
LUCJUSZ,4,M
LUBOMIR,4,M
DMITRY,4,M
RADOMIR,4,M
PETRO,4,M
EDWIN,4,M
ETHAN,4,M
ANDREI,4,M
JONAS,4,M
SYRIUSZ,4,M
TYKHON,4,M
JAROSLAW,4,M
TYCJAN,4,M
ILJA,4,M
PAWEL,4,M
ROMEO,4,M
KARIM,4,M
TOBIAS,4,M
MASSIMO,4,M
ERIC,4,M
ANDRIAN,4,M
PAUL,3,M
OMAR,3,M
HIERONIM,3,M
KRISTIAN,3,M
GORAN,3,M
ALEXANDR,3,M
VYACHESLAV,3,M
JACOB,3,M
KLIM,3,M
DEMID,3,M
CARLOS,3,M
PEDRO,3,M
LARS,3,M
SERAFIN,3,M
ALFRED,3,M
TONY,3,M
NICO,3,M
SEVERYN,3,M
TRAIAN,3,M
JOSHUA,3,M
ORION,3,M
GERALT,3,M
DYMITR,3,M
SEMEN,3,M
ELISEI,3,M
LIO,3,M
GILBERT,3,M
LECH,3,M
HLIB,3,M
VITALIY,3,M
MYKHAYLO,3,M
NICHOLAS,3,M
YAKUB,3,M
PHILIPP,3,M
SIEMOWIT,3,M
ROLAND,3,M
NOLAN,3,M
MATTEO,3,M
MYCHAJŁO,3,M
NIKLAS,3,M
MATWIY,3,M
ARKADIY,3,M
WAWRZYNIEC,3,M
RODION,3,M
TIGRAN,3,M
JURIJ,3,M
EMILIO,3,M
